query6: Se desea un listado de todas las parejas de productos que aparezcan en más de un carro de la compra
  code_1   |  code_2   | numcarros 
 S18_2795  | S18_1589  |         2
 S72_3212  | S24_1785  |         2
 S50_4713  | S24_4278  |         2
 S18_1889  | S10_4698  |         2
 S700_2824 | S32_3207  |         2
 S72_3212  | S700_2466 |         2
 S24_1628  | S12_1099  |         2
 S50_1341  | S12_2823  |         2
 S72_1253  | S10_4698  |         2
 S32_4289  | S24_3816  |         2
 S700_1938 | S18_1662  |         2
 S32_4485  | S18_1984  |         2
 S18_3685  | S18_2325  |         2
 S18_2795  | S18_2432  |         2
 S24_4048  | S10_4962  |         2
 S32_1374  | S12_3990  |         2
 S18_4409  | S18_1129  |         2
 S700_1691 | S12_2823  |         2
 S50_1341  | S10_4757  |         2
 S18_1889  | S10_1678  |         2
 S18_1749  | S18_1097  |         2
 S72_1253  | S18_4522  |         2
 S32_1374  | S12_3380  |         2
 S700_1938 | S24_1444  |         2
 S12_4473  | S12_1666  |         2
 S700_2610 | S32_3207  |         2
 S24_2011  | S18_1662  |         2
 S32_3522  | S18_4027  |         2
 S24_1628  | S12_3990  |         2
 S24_2972  | S18_2795  |         2
 S18_2319  | S12_1108  |         2
 S24_2887  | S18_3232  |         2
 S700_2047 | S18_4522  |         2
 S700_2824 | S18_4027  |         2
 S72_1253  | S18_2625  |         2
 S18_3278  | S18_2870  |         2
 S24_1937  | S18_2432  |         2
 S700_2824 | S18_1367  |         2
 S18_3259  | S18_2319  |         2
 S18_3782  | S18_2625  |         2
 S50_1392  | S18_4522  |         2
 S18_2432  | S18_1342  |         2
 S18_1889  | S10_2016  |         2
 S32_2206  | S32_1374  |         2
 S24_3420  | S10_2016  |         2
 S700_2834 | S32_2206  |         2
 S12_3380  | S10_2016  |         2
 S18_1889  | S12_2823  |         2
 S18_1749  | S18_1129  |         2
 S24_2840  | S12_1666  |         2
 S32_2206  | S18_2870  |         2
 S18_2581  | S12_2823  |         2
 S32_4485  | S18_1889  |         2
 S24_4620  | S24_2000  |         2
 S32_2509  | S18_4668  |         2
 S24_3151  | S18_2581  |         2
 S24_3816  | S12_3891  |         2
 S700_2610 | S50_1341  |         2
 S24_2887  | S18_2957  |         2
 S24_2022  | S18_1589  |         2
 S32_4485  | S24_4278  |         2
 S24_2887  | S18_3136  |         2
 S24_4278  | S12_2823  |         3
 S24_2360  | S18_1889  |         3
 S24_2972  | S24_2766  |         3
 S24_1046  | S12_4675  |         3
 S72_3212  | S18_2581  |         3
 S32_3207  | S18_2432  |         3
 S18_2625  | S12_3380  |         3
 S18_2625  | S12_4675  |         3
 S24_4620  | S18_1589  |         3
 S18_4933  | S18_2957  |         3
 S24_2000  | S18_1662  |         3
 S24_1578  | S18_1889  |         3
 S24_1578  | S12_3380  |         3
 S32_2206  | S18_3232  |         3
 S700_2466 | S24_1578  |         3
 S700_3167 | S700_2610 |         3
 S50_4713  | S18_1984  |         3
 S700_3962 | S32_3207  |         3
 S32_1268  | S18_2957  |         3
 S700_3505 | S24_3949  |         3
 S24_1628  | S18_2795  |         3
 S24_1046  | S18_1342  |         3
 S18_2319  | S12_3891  |         3
 S32_4485  | S18_1129  |         3
 S18_3140  | S18_2238  |         3
 S32_3207  | S32_1268  |         3
 S12_1099  | S10_4698  |         3
 S32_4485  | S32_1374  |         3
 S12_3990  | S10_4698  |         3
 S18_3685  | S18_2248  |         3
 S700_3962 | S18_2581  |         3
 S24_2887  | S18_3320  |         3
 S24_4620  | S10_4698  |         3
 S700_2047 | S24_2011  |         3
 S700_1138 | S32_3207  |         3
 S24_3969  | S18_2949  |         3
 S18_4933  | S18_1129  |         3
 S24_1578  | S12_4675  |         3
 S18_4721  | S10_4698  |         3
 S24_3856  | S24_2766  |         3
 S18_1342  | S12_1666  |         3
 S72_1253  | S10_2016  |         3
 S24_1937  | S18_1589  |         3
 S18_3232  | S12_3891  |         3
 S24_3191  | S12_4675  |         3
 S24_3191  | S18_1367  |         3
 S700_3167 | S10_4757  |         3
 S18_2325  | S18_1984  |         3
 S12_4675  | S12_2823  |         3
 S700_2834 | S32_4485  |         3
 S72_3212  | S32_3207  |         3
 S32_4485  | S12_4675  |         3
 S700_2834 | S50_4713  |         3
 S18_3259  | S12_4473  |         3
 S700_3505 | S18_2581  |         3
 S32_1374  | S12_1099  |         3
 S18_3278  | S10_2016  |         3
 S24_2300  | S18_3136  |         3
 S18_2949  | S18_1749  |         3
 S24_2000  | S18_3278  |         3
 S24_3191  | S18_1889  |         3
 S700_2834 | S18_3856  |         3
 S24_2972  | S24_2360  |         3
 S24_3191  | S24_2972  |         3
 S24_2766  | S12_4675  |         3
 S12_3380  | S10_1678  |         3
 S24_2300  | S18_2949  |         3
 S700_1138 | S18_4027  |         3
 S32_3207  | S10_4757  |         3
 S700_2834 | S24_2841  |         3
 S32_3207  | S24_2011  |         3
 S24_2300  | S18_2957  |         3
 S24_3969  | S18_1589  |         3
 S24_3949  | S24_1578  |         3
 S72_3212  | S24_3949  |         3
 S32_2509  | S12_1666  |         3
 S32_1374  | S18_1662  |         3
 S700_4002 | S700_3505 |         3
 S700_3962 | S24_3949  |         3
 S32_2509  | S12_3148  |         3
 S24_4258  | S10_4962  |         3
 S18_4933  | S18_3136  |         3
 S24_4620  | S18_2870  |         3
 S32_1268  | S18_3320  |         3
 S24_2766  | S18_1367  |         3
 S24_1628  | S12_3380  |         3
 S24_2022  | S12_1666  |         3
 S18_2625  | S18_1889  |         3
 S12_4675  | S10_1678  |         3
 S24_4258  | S18_4409  |         3
 S24_3949  | S10_1678  |         3
 S24_2022  | S24_1628  |         3
 S700_1938 | S24_4048  |         3
 S24_2300  | S18_3320  |         3
 S700_4002 | S10_1678  |         3
 S24_4278  | S18_3029  |         3
 S32_2206  | S24_2000  |         3
 S18_3278  | S18_2625  |         3
 S700_4002 | S24_1578  |         3
 S700_1938 | S50_1392  |         3
 S24_3856  | S24_3191  |         3
 S32_2206  | S18_1589  |         3
 S700_2610 | S12_3148  |         3
 S32_1268  | S18_4027  |         3
 S18_4668  | S18_1342  |         3
 S12_3990  | S10_2016  |         3
 S50_4713  | S32_1374  |         3
 S18_3278  | S10_4698  |         3
 S32_1268  | S12_1108  |         3
 S72_1253  | S24_2011  |         3
 S24_2840  | S18_3259  |         3
 S18_2795  | S12_1666  |         3
 S18_2949  | S18_2248  |         3
 S24_4620  | S18_3685  |         3
 S12_3891  | S10_4757  |         3
 S18_3782  | S18_3232  |         3
 S72_3212  | S700_4002 |         3
 S24_1046  | S18_1889  |         3
 S24_3432  | S18_1889  |         3
 S50_4713  | S12_4675  |         3
 S50_4713  | S24_2972  |         3
 S18_2325  | S18_1129  |         3
 S700_3505 | S32_3207  |         3
 S24_3432  | S12_4675  |         3
 S700_4002 | S700_3962 |         3
 S32_3207  | S24_3151  |         3
 S18_4933  | S18_1984  |         3
 S24_1937  | S12_1666  |         3
 S72_1253  | S700_2834 |         3
 S24_4258  | S18_2319  |         3
 S700_2834 | S24_2360  |         3
 S24_3151  | S18_4027  |         3
 S24_2766  | S18_1889  |         3
 S12_1099  | S10_2016  |         3
 S700_1691 | S24_1578  |         4
 S24_1578  | S18_3278  |         4
 S18_3232  | S12_1666  |         4
 S18_4409  | S18_2957  |         4
 S700_3167 | S24_1578  |         4
 S32_2206  | S18_2625  |         4
 S700_2824 | S12_1108  |         4
 S24_2360  | S12_4675  |         4
 S24_3816  | S24_1785  |         4
 S18_3320  | S10_4962  |         4
 S18_4409  | S18_3136  |         4
 S32_3522  | S18_2238  |         4
 S24_2000  | S18_1889  |         4
 S24_2000  | S12_3990  |         4
 S700_3505 | S18_4027  |         4
 S24_2887  | S18_1129  |         4
 S18_1589  | S12_1099  |         4
 S24_3151  | S12_3148  |         4
 S24_3432  | S24_2972  |         4
 S50_4713  | S24_3856  |         4
 S32_2206  | S18_1984  |         4
 S72_3212  | S24_3420  |         4
 S32_1268  | S18_2949  |         4
 S50_1392  | S18_4600  |         4
 S18_4522  | S18_3856  |         4
 S32_4485  | S24_2972  |         4
 S50_1392  | S10_4962  |         4
 S50_1392  | S10_4757  |         4
 S32_2206  | S18_1129  |         4
 S24_3949  | S24_3151  |         4
 S700_2834 | S700_2047 |         4
 S50_4713  | S12_3380  |         4
 S24_1444  | S10_4962  |         4
 S700_2610 | S24_1785  |         4
 S24_2000  | S12_4675  |         4
 S18_3856  | S18_2581  |         4
 S700_2610 | S12_1108  |         4
 S50_4713  | S10_2016  |         4
 S24_2766  | S18_3232  |         4
 S700_2610 | S18_2581  |         4
 S72_1253  | S18_2581  |         4
 S700_2610 | S12_3891  |         4
 S18_3278  | S10_1678  |         4
 S18_4668  | S18_2238  |         4
 S32_2206  | S10_2016  |         4
 S24_2300  | S12_1108  |         4
 S32_1268  | S18_3136  |         4
 S18_2325  | S18_1589  |         4
 S32_4485  | S24_2000  |         4
 S18_4721  | S10_1678  |         4
 S700_2610 | S700_2466 |         4
 S24_4620  | S10_1678  |         4
 S32_2206  | S12_4675  |         4
 S24_2887  | S18_1367  |         4
 S32_3522  | S32_2509  |         4
 S700_2834 | S24_3420  |         4
 S18_3136  | S18_1749  |         4
 S700_2047 | S18_2581  |         4
 S18_3320  | S18_2432  |         4
 S700_4002 | S24_3151  |         4
 S24_4258  | S12_4473  |         4
 S24_4620  | S24_1578  |         4
 S18_2957  | S18_1749  |         4
 S18_4409  | S18_3685  |         4
 S12_1108  | S10_4757  |         4
 S24_2360  | S10_2016  |         4
 S24_3856  | S24_3432  |         4
 S12_3380  | S12_2823  |         4
 S32_4485  | S18_2625  |         4
 S700_3962 | S24_3420  |         4
 S18_2325  | S10_1949  |         4
 S32_1374  | S24_2360  |         4
 S24_3432  | S18_1342  |         4
 S32_3207  | S24_2300  |         4
 S700_2466 | S10_1678  |         4
 S18_2625  | S12_1099  |         4
 S24_3856  | S24_1046  |         4
 S18_1589  | S12_3990  |         4
 S24_2840  | S18_4668  |         4
 S72_1253  | S24_4278  |         4
 S18_2319  | S12_1666  |         4
 S24_3371  | S12_2823  |         4
 S700_1691 | S24_3816  |         4
 S24_2300  | S18_4027  |         4
 S700_1138 | S24_3949  |         4
 S18_2238  | S10_4962  |         4
 S50_4713  | S24_2000  |         4
 S18_3259  | S18_2238  |         4
 S50_4713  | S18_1129  |         4
 S24_4278  | S18_3856  |         4
 S32_4485  | S10_2016  |         4
 S700_4002 | S700_1138 |         4
 S18_4668  | S18_1367  |         4
 S18_2325  | S18_1097  |         4
 S24_3191  | S18_3232  |         4
 S18_2625  | S12_3990  |         4
 S700_3505 | S24_3420  |         4
 S18_3482  | S12_2823  |         4
 S32_1268  | S24_4048  |         4
 S24_1785  | S10_1678  |         4
 S700_2824 | S24_1444  |         4
 S32_4289  | S24_1578  |         4
 S18_2870  | S18_2248  |         4
 S24_1444  | S18_4600  |         4
 S24_2360  | S18_2625  |         4
 S50_1341  | S24_1578  |         4
 S18_4933  | S18_3320  |         4
 S18_3782  | S18_1129  |         4
 S32_4485  | S12_3380  |         4
 S18_3782  | S18_1984  |         4
 S50_1341  | S24_3816  |         4
 S18_3685  | S18_1749  |         4
 S24_1444  | S18_3140  |         4
 S24_4258  | S18_2238  |         4
 S24_3432  | S18_2795  |         4
 S50_4713  | S18_2625  |         4
 S700_2610 | S50_1514  |         4
 S24_2887  | S18_1984  |         4
 S32_4289  | S18_3029  |         4
 S24_2840  | S12_1108  |         4
 S24_2000  | S12_3380  |         4
 S24_2840  | S12_3891  |         4
 S32_3207  | S18_4522  |         4
 S32_2206  | S18_1889  |         4
 S24_1578  | S18_4721  |         4
 S24_2360  | S12_3380  |         5
 S18_2870  | S12_3990  |         5
 S700_2824 | S18_3320  |         5
 S24_3949  | S18_2625  |         5
 S72_1253  | S32_4289  |         5
 S50_1514  | S12_4473  |         5
 S32_2509  | S12_1108  |         5
 S18_3782  | S12_4675  |         5
 S24_4258  | S18_4600  |         5
 S700_3962 | S24_2841  |         5
 S18_3782  | S10_4698  |         5
 S24_3151  | S18_1662  |         5
 S24_3969  | S18_3136  |         5
 S18_3685  | S12_1099  |         5
 S24_4620  | S18_1984  |         5
 S50_1514  | S18_3232  |         5
 S24_2022  | S10_1949  |         5
 S24_3969  | S18_2957  |         5
 S24_2360  | S24_2000  |         5
 S18_2870  | S12_1099  |         5
 S18_1589  | S12_3380  |         5
 S18_4933  | S18_3685  |         5
 S700_2834 | S12_2823  |         5
 S32_4485  | S24_3856  |         5
 S24_3420  | S18_2581  |         5
 S18_1367  | S10_4962  |         5
 S24_3949  | S10_4698  |         5
 S50_1514  | S24_3151  |         5
 S18_4409  | S18_2870  |         5
 S24_3420  | S24_3151  |         5
 S24_1628  | S12_4675  |         5
 S24_4258  | S24_3969  |         5
 S24_2011  | S18_3856  |         5
 S24_1046  | S18_3232  |         5
 S18_3029  | S18_2581  |         5
 S24_2766  | S18_2795  |         5
 S24_2022  | S18_1097  |         5
 S18_3259  | S10_4757  |         5
 S18_2870  | S18_1749  |         5
 S24_1937  | S10_1949  |         5
 S18_3136  | S18_2248  |         5
 S32_4289  | S18_3856  |         5
 S18_3140  | S18_3029  |         5
 S700_2834 | S18_1662  |         5
 S700_1138 | S18_1662  |         5
 S18_4721  | S18_3232  |         5
 S24_1578  | S12_3990  |         5
 S24_2766  | S18_1342  |         5
 S700_3962 | S18_4027  |         5
 S700_3505 | S12_3148  |         5
 S24_4278  | S24_2841  |         5
 S700_2466 | S10_4757  |         5
 S32_1268  | S12_3148  |         5
 S72_3212  | S18_4027  |         5
 S24_1046  | S18_2795  |         5
 S18_4668  | S18_3232  |         5
 S18_2795  | S10_1949  |         5
 S700_2466 | S18_2625  |         5
 S32_3522  | S24_2840  |         5
 S24_1937  | S18_1097  |         5
 S18_4933  | S18_1367  |         5
 S32_2509  | S12_3891  |         5
 S50_1514  | S18_2319  |         5
 S24_4258  | S18_1749  |         5
 S24_2000  | S12_1099  |         5
 S700_3505 | S24_2841  |         5
 S24_4258  | S18_2248  |         5
 S700_1138 | S12_3148  |         5
 S24_2300  | S10_1949  |         5
 S18_3685  | S12_3990  |         5
 S18_2949  | S18_2325  |         5
 S24_4258  | S12_3148  |         5
 S700_2466 | S10_4698  |         5
 S32_2206  | S12_3380  |         5
 S24_1578  | S12_1099  |         5
 S18_3232  | S12_3148  |         5
 S72_3212  | S24_2841  |         5
 S700_4002 | S10_4698  |         5
 S18_3259  | S18_3029  |         5
 S12_3990  | S10_1678  |         5
 S24_3151  | S12_1108  |         5
 S24_4620  | S18_3232  |         5
 S700_1138 | S24_3420  |         5
 S24_1444  | S18_3259  |         5
 S32_3522  | S12_3148  |         5
 S24_2972  | S24_1046  |         5
 S18_2957  | S18_2248  |         5
 S24_2300  | S18_1097  |         5
 S18_4721  | S18_1984  |         5
 S24_3191  | S18_1342  |         5
 S700_3167 | S24_3816  |         5
 S24_3432  | S18_3232  |         5
 S24_3191  | S18_2795  |         5
 S18_2432  | S18_1367  |         5
 S50_1514  | S10_4757  |         5
 S700_2047 | S24_4278  |         5
 S24_2887  | S18_3685  |         5
 S18_4668  | S12_3148  |         5
 S700_4002 | S18_2625  |         5
 S24_3856  | S24_2360  |         5
 S18_2795  | S18_1097  |         5
 S700_3962 | S700_2047 |         6
 S24_2840  | S12_3148  |         6
 S18_3140  | S10_4757  |         6
 S24_2011  | S18_4027  |         6
 S700_1938 | S32_3207  |         6
 S24_3371  | S18_3685  |         6
 S700_3505 | S12_1108  |         6
 S24_3371  | S18_1589  |         6
 S24_3151  | S12_3891  |         6
 S18_4933  | S18_2870  |         6
 S700_3167 | S10_4698  |         6
 S18_2870  | S12_3380  |         6
 S700_1691 | S18_2625  |         6
 S72_3212  | S700_2047 |         6
 S24_4258  | S18_2325  |         6
 S700_2824 | S12_3148  |         6
 S18_3278  | S18_1984  |         6
 S24_3949  | S10_2016  |         6
 S700_4002 | S24_2000  |         6
 S24_1578  | S18_3782  |         6
 S24_1937  | S24_1628  |         6
 S24_2766  | S18_1984  |         6
 S24_1785  | S18_3029  |         6
 S700_1691 | S10_1678  |         6
 S72_1253  | S700_3505 |         6
 S18_1342  | S18_1097  |         6
 S18_3782  | S18_1889  |         6
 S24_1628  | S18_1889  |         6
 S700_2047 | S32_4289  |         6
 S700_3505 | S12_3891  |         6
 S72_3212  | S72_1253  |         6
 S18_4409  | S18_3320  |         6
 S18_4721  | S18_1129  |         6
 S24_4278  | S24_3420  |         6
 S24_4048  | S18_3140  |         6
 S24_3969  | S24_1628  |         6
 S700_1138 | S50_1514  |         6
 S32_4289  | S10_1678  |         6
 S72_1253  | S700_3962 |         6
 S700_3167 | S10_1678  |         6
 S50_1392  | S18_3140  |         6
 S12_4473  | S12_1108  |         6
 S700_1691 | S18_3029  |         6
 S12_4473  | S12_3891  |         6
 S24_2887  | S18_1342  |         6
 S24_4278  | S24_1578  |         6
 S18_4600  | S18_2238  |         6
 S24_4258  | S24_1937  |         6
 S24_3151  | S24_2841  |         6
 S24_3949  | S24_2000  |         6
 S32_3522  | S18_3320  |         6
 S18_3685  | S12_3380  |         6
 S24_4048  | S18_3259  |         6
 S24_2300  | S12_3148  |         6
 S18_3482  | S18_1984  |         6
 S24_1937  | S18_2949  |         6
 S700_3505 | S700_2047 |         6
 S700_3167 | S18_2625  |         6
 S700_1138 | S24_2841  |         6
 S18_4600  | S18_3320  |         6
 S700_2466 | S10_2016  |         6
 S24_3191  | S18_1984  |         6
 S700_2824 | S32_2509  |         6
 S24_3371  | S18_2870  |         6
 S24_4258  | S12_1666  |         6
 S700_1138 | S12_1108  |         6
 S50_1514  | S24_2840  |         6
 S700_2824 | S18_2238  |         6
 S32_4289  | S24_2841  |         6
 S24_2887  | S18_2795  |         6
 S24_2841  | S18_2581  |         6
 S700_1938 | S24_3816  |         6
 S18_4668  | S12_4473  |         6
 S72_1253  | S24_1785  |         6
 S18_4933  | S18_1342  |         6
 S18_2581  | S10_1678  |         6
 S24_3191  | S18_1129  |         6
 S50_1341  | S10_1678  |         6
 S18_2248  | S18_1589  |         6
 S24_4620  | S18_1129  |         6
 S700_1938 | S18_3029  |         6
 S50_1341  | S18_3029  |         6
 S24_3432  | S24_2022  |         6
 S18_4668  | S18_2319  |         6
 S18_3782  | S10_1678  |         6
 S700_4002 | S10_2016  |         6
 S50_1392  | S18_3259  |         6
 S18_2319  | S12_3148  |         6
 S24_2766  | S18_1129  |         6
 S700_3962 | S18_1662  |         6
 S50_1341  | S18_2625  |         6
 S700_3505 | S18_1662  |         6
 S700_3962 | S12_3148  |         6
 S32_4289  | S18_2625  |         6
 S18_1367  | S12_1666  |         6
 S12_1099  | S10_1678  |         6
 S72_3212  | S18_1662  |         6
 S18_4721  | S12_4675  |         7
 S50_1514  | S32_2509  |         7
 S24_3949  | S10_4757  |         7
 S24_3816  | S18_3140  |         7
 S32_3522  | S18_2957  |         7
 S700_2824 | S18_3232  |         7
 S700_1938 | S10_4757  |         7
 S18_1589  | S12_4675  |         7
 S72_3212  | S12_3148  |         7
 S24_2887  | S18_2870  |         7
 S32_1374  | S12_2823  |         7
 S700_2610 | S24_3949  |         7
 S18_4600  | S18_2957  |         7
 S32_1268  | S24_4258  |         7
 S18_3136  | S18_2432  |         7
 S18_1749  | S18_1589  |         7
 S700_2824 | S18_2957  |         7
 S24_2022  | S24_1046  |         7
 S32_3522  | S12_4473  |         7
 S700_3962 | S12_3891  |         7
 S24_1785  | S24_1578  |         7
 S18_3782  | S12_3380  |         7
 S24_3856  | S24_1628  |         7
 S32_2206  | S10_4698  |         7
 S700_3505 | S50_1514  |         7
 S32_2206  | S24_2972  |         7
 S24_2766  | S24_2022  |         7
 S32_4485  | S10_4698  |         7
 S24_4258  | S24_2300  |         7
 S700_2047 | S24_1785  |         7
 S18_3136  | S18_2325  |         7
 S18_4522  | S18_4027  |         7
 S700_4002 | S700_2610 |         7
 S50_1341  | S18_3856  |         7
 S18_4522  | S18_3029  |         7
 S700_3962 | S12_1108  |         7
 S18_4721  | S12_2823  |         7
 S72_1253  | S50_1341  |         7
 S18_1342  | S10_1949  |         7
 S72_1253  | S700_1138 |         7
 S24_1937  | S18_3136  |         7
 S700_2466 | S24_3816  |         7
 S12_3990  | S12_2823  |         7
 S50_4713  | S10_4698  |         7
 S18_3320  | S12_1666  |         7
 S32_3522  | S18_3232  |         7
 S50_1392  | S32_1268  |         7
 S72_1253  | S24_3151  |         7
 S32_4289  | S10_4698  |         7
 S700_2824 | S24_2840  |         7
 S18_2957  | S18_2325  |         7
 S12_4473  | S10_4962  |         7
 S50_4713  | S12_3990  |         7
 S24_4278  | S18_1662  |         7
 S24_2972  | S18_3782  |         7
 S18_3482  | S18_1129  |         7
 S18_2957  | S18_2432  |         7
 S24_1628  | S18_2325  |         7
 S24_4048  | S18_2432  |         7
 S24_3191  | S24_2022  |         7
 S18_3278  | S18_1129  |         7
 S18_1984  | S12_1099  |         7
 S24_4620  | S12_2823  |         7
 S700_3167 | S10_2016  |         7
 S700_2047 | S700_1138 |         7
 S72_1253  | S700_1691 |         7
 S700_1138 | S12_3891  |         7
 S24_1046  | S18_1129  |         7
 S24_1937  | S18_2957  |         7
 S32_4485  | S12_3990  |         7
 S24_1785  | S18_3856  |         7
 S700_2047 | S24_3151  |         7
 S18_3278  | S18_3232  |         7
 S700_1691 | S18_3856  |         7
 S24_2360  | S10_4698  |         7
 S50_1341  | S10_4698  |         7
 S18_3278  | S12_2823  |         7
 S24_4278  | S10_1678  |         7
 S32_4289  | S24_3420  |         7
 S700_4002 | S10_4757  |         7
 S700_1691 | S10_4698  |         7
 S24_3432  | S18_1129  |         7
 S18_3482  | S18_3232  |         7
 S32_3522  | S18_2319  |         8
 S32_2206  | S12_3990  |         8
 S700_2824 | S18_2949  |         8
 S18_2870  | S12_4675  |         8
 S72_3212  | S50_1514  |         8
 S32_4289  | S10_2016  |         8
 S18_4668  | S18_2432  |         8
 S24_1046  | S18_1984  |         8
 S18_4600  | S18_3136  |         8
 S18_1984  | S12_3380  |         8
 S50_4713  | S24_3371  |         8
 S72_3212  | S12_3891  |         8
 S32_3207  | S18_2319  |         8
 S700_3505 | S18_3856  |         8
 S18_3685  | S12_4675  |         8
 S18_4409  | S18_1589  |         8
 S32_2509  | S18_4027  |         8
 S24_1444  | S12_1108  |         8
 S12_2823  | S12_1099  |         8
 S24_4048  | S24_2300  |         8
 S24_2011  | S18_3029  |         8
 S18_2238  | S12_1108  |         8
 S700_4002 | S32_1374  |         8
 S18_4522  | S12_3148  |         8
 S18_2949  | S18_2432  |         8
 S18_3320  | S18_1749  |         8
 S700_3962 | S18_3856  |         8
 S700_2047 | S700_1691 |         8
 S50_1514  | S18_2238  |         8
 S18_3320  | S18_2248  |         8
 S24_2766  | S18_3685  |         8
 S32_4485  | S12_1099  |         8
 S700_2047 | S50_1341  |         8
 S24_3151  | S18_3856  |         8
 S700_2824 | S18_3136  |         8
 S24_3432  | S18_1984  |         8
 S24_2840  | S10_4962  |         8
 S50_1341  | S10_2016  |         8
 S24_3816  | S18_3259  |         8
 S24_3191  | S18_3685  |         8
 S32_1374  | S24_3949  |         8
 S18_4721  | S18_1889  |         8
 S32_4289  | S18_1662  |         8
 S32_2206  | S24_3856  |         8
 S24_4620  | S12_4675  |         8
 S32_2206  | S12_1099  |         8
 S24_4278  | S10_4698  |         8
 S24_4278  | S18_2625  |         8
 S32_2206  | S10_1678  |         8
 S18_1889  | S18_1589  |         8
 S24_2022  | S18_2949  |         8
 S24_3420  | S24_1785  |         8
 S24_2011  | S12_3148  |         8
 S18_2238  | S12_3891  |         8
 S32_1268  | S10_1949  |         8
 S24_2840  | S18_4600  |         8
 S24_2360  | S12_3990  |         8
 S72_3212  | S12_1108  |         8
 S18_4600  | S18_2949  |         8
